Latitude,Longitude,2023 Rides,2022 Rides,2021 Rides,2020 Rides,2019 Rides,2018 Rides,2017 Rides,Municipality,Municipality
42.5751° N,70.9301° W,222887,160715,112437,86728,166388,121860,87187,Danvers,Danvers
41.6084° N,70.9345° W,113217,74309,52015,39156,68101,46355,23242,Dartmouth,Dartmouth
42.2438° N,71.1668° W,268402,203465,145572,120081,262104,204011,149793,Dedham,Dedham
42.5465° N,72.6051° W,909,785,393,638,2439,2017,1631,Deerfield,Deerfield
41.7351° N,70.1998° W,60717,48431,36671,21963,51707,41161,30197,Dennis,Dennis
41.8134° N,71.1234° W,4239,2970,1954,1502,2600,1384,681,Dighton,Dighton
42.0501° N,71.7501° W,1557,1205,564,836,2201,1285,579,Douglas,Douglas
42.2484° N,71.2823° W,11999,8663,4693,4059,12568,9187,6647,Dover,Dover
42.6723° N,71.3023° W,104004,72474,51936,39320,61798,45906,28181,Dracut,Dracut
42.0501° N,71.9334° W,4158,2654,1062,1398,3161,2577,1234,Dudley,Dudley
42.6751° N,71.4834° W,1079,857,449,688,1151,473,275,Dunstable,Dunstable
42.0415° N,70.6723° W,12286,8436,4852,4846,12661,9169,5143,Duxbury,Duxbury
42.0334° N,70.9501° W,28615,18085,11736,10851,19123,12721,7463,East Bridgewater,East Bridgewater
42.2165° N,72.0501° W,445,162,120,205,497,318,164,East Brookfield,East Brookfield
42.0634° N,72.5145° W,25859,16773,6597,10790,29990,23207,11974,East Longmeadow,East Longmeadow
41.8301° N,69.9734° W,6101,4884,3545,1907,5741,3753,2799,Eastham,Eastham
42.2665° N,72.6689° W,8528,6500,3284,5499,19111,15479,11762,Easthampton,Easthampton
42.0245° N,71.12917° W,73334,47735,34437,26469,50841,36288,22119,Easton,Easton
41.3895° N,70.5134° W,63416,49520,35927,22066,64693,55987,31050,Edgartown,Edgartown
42.1623° N,73.4101° W,12,8,1,2,12,20,9,Egremont,Egremont
42.6001° N,72.4001° W,10,10,1,2,25,31,15,Erving,Erving
42.6315° N,70.7823° W,2948,2119,1235,1091,3645,2026,1568,Essex,Essex
42.4084° N,71.0534° W,1174994,939449,708594,644701,1340481,1024778,775773,Everett,Everett
41.6373° N,70.9034° W,39386,24357,16364,12149,21101,12283,5244,Fairhaven,Fairhaven
41.7015° N,71.1550° W,510657,298228,220821,182263,237276,134119,59477,Fall River,Fall River
41.5532° N,70.6089° W,130653,94765,68479,41311,97395,72551,53249,Falmouth,Falmouth
42.5833° N,71.8027° W,111343,65892,40407,48686,97974,59813,25528,Fitchburg,Fitchburg
42.7001° N,73.0165° W,2,1,2,0,10,21,7,Florida,Florida
