Latitude,Longitude,2023 Rides,2022 Rides,2021 Rides,2020 Rides,2019 Rides,2018 Rides,2017 Rides,Municipality,Municipality
42.2963° N,73.2495° W,13,13,3,5,27,16,18,Washington,Washington
42.3625° N,71.1847° W,556964,435934,289571,247368,632566,565760,469122,Watertown,Watertown
42.3612° N,71.3455° W,32323,22557,13909,12329,35895,29368,20880,Wayland,Wayland
42.0695° N,71.8582° W,18126,11422,5359,6373,10699,7854,3533,Webster,Webster
42.2960° N,71.2920° W,264551,206461,114011,95461,297449,248019,193377,Wellesley,Wellesley
41.9572° N,70.0224° W,3739,3629,2288,1996,7699,6314,4552,Wellfleet,Wellfleet
42.5410° N,72.5364° W,16,1,1,2,2,8,3,Wendell,Wendell
42.6042° N,70.8871° W,9055,6441,3458,3169,9146,7126,5419,Wenham,Wenham
42.3635° N,71.7405° W,19131,12940,8562,7924,14937,9429,6135,West Boylston,West Boylston
42.0234° N,70.9972° W,33073,21673,16822,13884,22162,15218,7800,West Bridgewater,West Bridgewater
42.2126° N,72.1877° W,122,85,28,39,161,102,57,West Brookfield,West Brookfield
42.7743° N,70.9256° W,1974,1370,1039,658,2406,1802,1272,West Newbury,West Newbury
42.1015° N,72.5898° W,115687,77208,43442,46719,111231,82955,48288,West Springfield,West Springfield
42.2853° N,73.3656° W,29,20,7,17,113,163,90,West Stockbridge,West Stockbridge
41.3884° N,70.7071° W,15263,13181,9650,4700,13306,9745,5515,West Tisbury,West Tisbury
42.2681° N,71.6351° W,112523,78545,47406,38431,91227,75544,52774,Westborough,Westborough
42.1155° N,72.7496° W,25348,15257,7268,15126,48056,41549,28502,Westfield,Westfield
42.5853° N,71.4350° W,44337,32019,18557,13644,32361,22752,13471,Westford,Westford
42.2897° N,72.6970° W,129,26,7,37,180,166,130,Westhampton,Westhampton
42.5219° N,71.8669° W,3391,2339,1612,1885,3311,1862,878,Westminster,Westminster
42.3644° N,71.3662° W,62906,44171,25611,21750,74780,61691,48574,Weston,Weston
41.6362° N,71.1043° W,12149,8475,7344,5561,6744,3739,2214,Westport,Westport
42.2127° N,71.2003° W,124605,83518,48502,40376,105814,81981,53014,Westwood,Westwood
42.2226° N,70.9445° W,382387,275512,199294,172457,307000,225559,157892,Weymouth,Weymouth
42.4717° N,72.6371° W,352,318,142,199,750,567,528,Whately,Whately
42.0163° N,70.9185° W,49938,34740,25776,21149,34037,21609,12950,Whitman,Whitman
42.1065° N,72.4173° W,10213,6587,2591,4873,14530,9658,6751,Wilbraham,Wilbraham
42.3647° N,72.7040° W,204,120,50,115,804,747,552,Williamsburg,Williamsburg
42.7115° N,73.2042° W,312,272,106,124,550,594,428,Williamstown,Williamstown
42.5580° N,71.1478° W,108712,71115,46492,38868,79297,60737,40518,Wilmington,Wilmington
42.7174° N,72.0373° W,443,356,115,98,246,222,125,Winchendon,Winchendon
42.4625° N,71.1374° W,115691,85710,51238,41411,122350,100812,75820,Winchester,Winchester
42.3333° N,73.1852° W,4,5,0,2,1,1,57,Windsor,Windsor
42.3741° N,70.9880° W,159319,122982,78160,71614,169501,139418,103750,Winthrop,Winthrop
42.4791° N,71.1523° W,464208,335303,215878,169235,380875,303055,219975,Woburn,Woburn
42.2626° N,71.8023° W,1812827,1235568,786978,808773,1606509,1266401,848943,Worcester,Worcester
42.3580° N,72.6880° W,1,0,0,1,0,0,1,Worthington,Worthington
42.0231° N,71.2761° W,35128,23274,15574,10422,25592,17603,11096,Wrentham,Wrentham
41.6656° N,70.2270° W,95574,66732,49655,30433,52042,41673,28880,Yarmouth,Yarmouth
